Begin Time - ss.msec	End Time - ss.msec	Duration - ss.msec	Transcript	Notes	Translation	Phonemic	Phonetic	Description	
0.295	1.583	1.288	§{⟦moganó ngóːchá inde⟧}₴	Is the final /o/ of mogano lengthened? If so, this would be a result of the following NC sequence. There's no initial /o/ on ómogano because the speaker is assuming the role of the story. Very slight pitch uptick and small intensity increase on the /ó/ of mogano. The last two tones are realized mostly as intensity increases rather than pitch. This appears to be how Kennedy made this sound monotone while still imparting tone: It *is* monotone - a nearly flat pitch - but has intensity fluctuations. GM: You usually drop the last sound of the word in elision, but here for some reason we're dropping the first sound of the following word. CGː Sounds like a syllabic /m/, possibly because of an initial downstep.	May I, Story, come?	moganó ngóːchá índe	moɣanó#ŋgóocháá#nde	
1.583	3.645	2.062	(2.1)+(H)					
3.645	4.231	0.586	§{⟦karɛ:‰	GM: agó kárɛ 'a long time ago' - how stories are typically started.	Long ago,	karɛ	kaɾɛ̰ː	
4.231	5.231	1.0	(1.0)					
5.231	6.23	0.999	^karɛ ^karɛ ^karɛ:⟧		long long long ago,	karɛ karɛ karɛ	kaɾɛ kaɾɛ kaɾɛ	
6.23	7.502	1.272	(1.3)					
7.502	8.35	0.848	⟦≤^ókangʼɔmbe	Keeps a high intensity on /o/ and across the word (and possibly a high pitch for his range).	Cow,	ókangʼɔmbe	ókaŋɔɔmbe	
8.35	9.91	1.56	(H)+(1.6)					
9.91	10.615	0.705	%n'ó:–		with,	n'ó–	n=óː	
10.615	11.442	0.827	^ógansona	Increased intensity on the first /a/ (higher than the rest of the phrase), and a very very slight increase in pitch towards the end of the vowel. The final /a/ is higher intensity but not significantly higher pitch.	Flea,	ógansona	óɣaansona	
11.442	13.324	1.882	(H)+(1.9)					
13.324	14.38	1.056	^n'ó:kanda≥	Slightly higher pitch and notably higher intensity on the first /a/. Gives the impression of a sustained intensity throughout the word.	with Jigger,	n'ókanda	n=óːkaanda	
14.38	15.616	1.236	(H)+(1.2)					
15.616	16.557	0.941	‷bikagɛnda ɔ́bɔkɔ‴⟧}₴	GMː They're going to look for a suitor. DWH: See if you can characterize what's going on with the /k/ phonetically - maybe just a delayed VOT? on the /ɛ/ there's no noticeable pitch uptick or noticeably higher intensity than other vowels - good example of an unaccented NC sequence.	they set out to the in-laws.	bikagɛnda ɔ́bɔkɔ	βikaɣɛɛnd#ɔ́bɔkʰɔ	
16.557	17.398	0.841	(0.8)					
17.399	18.306	0.907	§{⟦≤^bikagɛnda⟧ ‥(0.1)	GM: Initial H tone is stressing the point. DWH: /i/ has the highest pitch and intensity for the phrase. The /ɛ/ stays relatively high intensity.	They walked,	bikagɛnda	βikaɣɛɛnda	
18.306	19.523	1.217	⟦bikagɛnda⟧ ‥(0.3)	This one has the accented first syllable but not the sustained high intensity.	they walked,	bikagɛnda	βikaɣɛɛnda	
19.523	20.76	1.237	⟦bikagɛnda≥⟧ ‥(0.5)	Same - accented first syllable but no sustained intensity.	they walked,	bikagɛnda	βikaɣɛɛnda	
